Queue,StartInterval,EndInterval,Contacts handled incoming,Contacts Incoming,Contacts missed,Agent interaction and hold time
"販売店代行：東京本店",2020-07-08T09:00:00.000+09:00,2020-07-08T09:30:00.000+09:00,1,1,,10
"販売店代行：東京本店",2020-07-08T09:30:00.000+09:00,2020-07-08T10:00:00.000+09:00,2,2,,72
"販売店代行：東京本店",2020-07-08T10:00:00.000+09:00,2020-07-08T10:30:00.000+09:00,4,4,,132
"販売店代行：東京本店",2020-07-08T10:30:00.000+09:00,2020-07-08T11:00:00.000+09:00,1,1,,18
"販売店代行：東京本店",2020-07-08T11:00:00.000+09:00,2020-07-08T11:30:00.000+09:00,,1,2,
"販売店代行：東京本店",2020-07-08T16:30:00.000+09:00,2020-07-08T17:00:00.000+09:00,1,1,,20
